season,team,GP,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,made_playoffs,round_reached
2022:2023,Florida Panthers,82,4960.15,5481,4637,54.17,4127,3573,53.6,3021,2604,53.71,310.93,269.86,53.54,2875,2368,54.84,1711,1450,54.13,236,205,53.51,13.79,85.86,1301,1081,54.62,914,775,54.11,164,130,55.78,17.94,83.23,1574,1287,55.02,797,675,54.14,72,75,48.98,9.03,88.89,2302,1993,53.6,1153,1013,53.23,46,61,42.99,3.99,93.98,9.53,89.55,0.991,1,4
2022:2023,Edmonton Oilers,82,4963.65,4900,4511,52.07,3708,3474,51.63,2755,2573,51.71,295.87,247.41,54.46,2721,2342,53.74,1654,1404,54.09,279,215,56.48,16.87,84.69,1217,940,56.42,882,686,56.25,167,133,55.67,18.93,80.61,1504,1402,51.75,772,718,51.81,112,82,57.73,14.51,88.58,1957,1945,50.15,964,1010,48.83,43,36,54.43,4.46,96.44,11.8,90.05,1.018,1,2
2022:2023,Detroit Red Wings,82,4983.25,4289,4812,47.13,3203,3530,47.57,2312,2496,48.09,226.45,243.19,48.22,2096,2457,46.04,1225,1363,47.33,189,219,46.32,15.43,83.93,841,1021,45.17,625,693,47.42,115,134,46.18,18.4,80.66,1255,1436,46.64,600,670,47.24,74,85,46.54,12.33,87.31,1937,2070,48.34,946,984,49.02,43,51,45.74,4.55,94.82,10.25,88.98,0.992,0,0
2022:2023,Dallas Stars,82,4993.05,4986,4599,52.02,3635,3448,51.32,2618,2454,51.62,272.97,231.7,54.09,2618,2245,53.84,1531,1308,53.93,224,177,55.86,14.63,86.47,1119,937,54.43,792,665,54.36,158,113,58.3,19.95,83.01,1499,1308,53.4,739,643,53.47,66,64,50.77,8.93,90.05,2015,1994,50.26,948,998,48.72,46,34,57.5,4.85,96.59,10.73,91.24,1.02,1,3
2022:2023,Colorado Avalanche,82,4996.7667,5004,4525,52.51,3674,3411,51.86,2729,2540,51.79,255.04,238.37,51.69,2525,2196,53.48,1510,1339,53.0,218,181,54.64,14.44,86.48,998,1016,49.55,735,729,50.2,139,122,53.26,18.91,83.26,1527,1180,56.41,775,610,55.96,79,59,57.25,10.19,90.33,2207,2003,52.42,1118,1059,51.36,49,36,57.65,4.38,96.6,10.04,91.22,1.013,1,1
2022:2023,Chicago Blackhawks,82,4967.4167,4075,5068,44.57,3063,3785,44.73,2210,2758,44.48,207.16,274.26,43.03,1948,2679,42.1,1157,1564,42.52,174,237,42.34,15.04,84.85,796,1101,41.96,560,795,41.33,112,153,42.26,20.0,80.75,1152,1578,42.2,597,769,43.7,62,84,42.47,10.39,89.08,1848,2078,47.07,930,1065,46.62,26,51,33.77,2.8,95.21,9.14,89.16,0.983,0,0
2022:2023,Calgary Flames,82,4998.6333,5527,4193,56.86,4115,3169,56.49,2949,2243,56.8,284.62,231.09,55.19,2736,2275,54.6,1619,1359,54.37,212,211,50.12,13.09,84.47,1081,932,53.7,773,651,54.28,135,119,53.15,17.46,81.72,1655,1343,55.2,846,708,54.44,77,92,45.56,9.1,87.01,2387,1638,59.3,1130,745,60.27,43,33,56.58,3.81,95.57,8.75,88.99,0.977,0,0
2022:2023,Columbus Blue Jackets,82,4967.0,4544,5422,45.6,3376,4079,45.29,2400,2906,45.23,233.14,287.46,44.78,2242,2758,44.84,1302,1596,44.93,165,269,38.02,12.67,83.15,901,1134,44.28,618,802,43.52,97,164,37.16,15.7,79.55,1341,1624,45.23,684,794,46.28,68,105,39.31,9.94,86.78,1986,2368,45.61,956,1181,44.74,43,52,45.26,4.5,95.6,8.88,88.68,0.976,0,0
2022:2023,Carolina Hurricanes,82,4990.5333,5606,3757,59.87,4225,2923,59.11,2852,2133,57.21,296.28,218.59,57.54,2771,1920,59.07,1551,1215,56.07,216,178,54.82,13.93,85.35,1237,942,56.77,832,670,55.39,137,111,55.24,16.47,83.43,1534,978,61.07,719,545,56.88,79,67,54.11,10.99,87.71,2543,1517,62.64,1200,750,61.54,40,28,58.82,3.33,96.27,9.19,90.15,0.993,1,3
2022:2023,Buffalo Sabres,82,4976.8833,4777,4587,51.01,3630,3660,49.79,2666,2711,49.58,268.91,272.77,49.64,2551,2526,50.25,1516,1573,49.08,237,244,49.27,15.63,84.49,1018,1125,47.5,725,823,46.83,139,153,47.6,19.17,81.41,1533,1401,52.25,791,750,51.33,98,91,51.85,12.39,87.87,1996,1873,51.59,1005,1011,49.85,49,48,50.52,4.88,95.25,10.99,89.04,1.0,0,0
